"","V1","V2","V3","V4","V5","V6","V7"
"49",0.154557195726474,0.0643246729636598,0.134363016846766,0.0955491754290482,0.0884375611204364,0.0926791883229116,0.174693297682125
"50",0.059474778470504,0.0208652265054276,0,0.012309921208155,0.0604727932813182,0.0063363634790336,0.055062291407879
"51",0.00527740000301998,0.0046978966777436,0,0.0248859483174757,0,0.00614437763322166,0.00473925455210052
"52",0.0109986715872499,0.0136352234031531,0,0,0.00405680908549619,0.00418796271876032,0.00377258141196151
"53",0.0322059477805151,0.0117675827611921,0,0.00816814562881162,0.0503363972648136,0.0263959504098855,0.0166220156595922
"54",0,0,0,0,0,0,0
"55",0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0
"57",0,0.00479793513940642,0.0333589373585688,0,0,0.0481512130250541,0.00507286465173242
"58",0.00808487009889526,0.00888827842554767,0.0567877117715369,0,0,0,0.00737058961237097
"59",0.0171069841451821,0.0404964530228727,0.0269089012606134,0,0.0147718703637303,0.0134011043279587,0
"60",0,0.00548902574442393,0,0,0,0.0060936629014859,0
"61",0,0,0,0,0,0,0
"62",0,0,0,0,0,0,0
"63",0.0169680399762011,0.0166988720384719,0,0,0.0224828248854725,0.0420828304432019,0.0321727791261238
"64",0.0105490278683341,0.00867383405302107,0,0,0,0,0.00840713431096165
"65",0.085681117600133,0.0881180016503078,0.0137697851176652,0.0108751987594899,0.10191067759767,0.0307327693219646,0.0281978679431029
"66",0.171647024777797,0.12822270934088,0,0.112499098242896,0.256618340241796,0.0372067815351882,0.154415566430087
"67",0.172590898114534,0.103332262782436,0.0587234938765737,0,0.0584796359130505,0.0407327019063019,0.139141367169646
"68",0.25577188214806,0.132766111354153,0.0866564357612671,0.137681708043288,0.267385986153226,0.120497931834443,0.218003283202831
"69",0.0190055241492919,0.00844675562075876,0,0,0.0125741959571129,0,0.0087680624831488
"70",0.119429145948163,0.105556974363105,0,0.0226743237128634,0.120829406551559,0.0587575333874609,0.0716215744728538
"71",0.0749226999234839,0.0549954428161485,0,0,0.0248690231181901,0,0.0817946702265666
"72",0,0.00493554144728908,0.122862867657923,0.0196502689837184,0,0,0
"73",0,0,0,0,0,0,0
"74",0,0,0,0,0,0,0
"75",0,0,0,0,0.00359886992135222,0,0
"76",0.0111596667801592,0.01260956695727,0.0155897576059213,0.0370672845589604,0.0123141781595608,0.00841374021808101,0.0178687297273679
"77",0.0379090541052087,0.0608734127917343,0.0156260632758239,0,0.0286856306197338,0.0491287041682853,0.0593300739530064
"78",0.053385871365134,0.0432716378374214,0,0.0223827336847684,0.0998162010995257,0.036635604829722,0.0904232929289031
"79",0.0807625404289656,0.0877063067886656,0.0636146818309839,0.0493101940909298,0.145552394935276,0.09414272175349,0.0611520834162363
"80",0,0,0,0,0.00499952483116593,0,0
"81",0.0503754540286108,0.047088076848172,0,0,0.0217651313698359,0.043241703694802,0.0548018650235449
"82",0.401366658541661,0.288275950848571,0.0223782495483304,0.235805310563465,0.384935974428704,0.0613186354960562,0.213269435441006
"83",0.0253863573926144,0.0216449118419628,0,0,0.0351232538123544,0.00735278460095314,0.00505131339788596
"84",0.630259121054071,0.368422617528132,0.0164197542994854,0.147270049322905,0.443318297016205,0.0813541612986479,0.504011882965493
"85",0.0236564664974391,0.0641260849934788,0,0,0.0528482051507155,0.0161614669029677,0.125689269409802
"86",0.0104437526245924,0.0056563859443069,0.030067407531229,0.0222445483970756,0.0219406795767986,0.0146403566465229,0.0207796363126389
"87",0,0,0,0,0,0,0
"88",0.278757558864823,0.34145263084844,0.0501347553884242,0.0238270006603994,0.892621302638633,0.173200055586636,0.270851680012255
"89",0.0390901172547858,0.0581194232810768,0,0,0.0602796377641288,0.0323884451172078,0.0827997989198407
"90",0.00281783953609385,0.0148113546837203,0,0,0.00865491909025843,0.0127697231985333,0
"91",0.0228327831948165,0.0360792423304072,0,0,0.00780586527119369,0.071785132792417,0.0247264752820621
"92",0.305530065746841,0.199258137194898,0.0160487166371107,0.155197088305677,0.244338501224015,0.0998174619857027,0.273791245908495
"93",0.00732430344003403,0.0133266058753947,0.0524671334320506,0.0632335072558042,0.0183365960836003,0,0.0177894033815827
"94",0.0910586830695499,0.0744839298147011,0.261122120798736,0.0775828575708743,0.131575865321522,0.292764593455102,0.0664751269744764
"95",0.0269469961282557,0.0203661107743869,0,0,0.0410928849021522,0.00617443543360532,0.0139255038761
"96",0.0756724844620892,0.0193629233012075,0,0.0124105575651705,0.0465084395520996,0.0641884986211375,0.0757826801740766
"97",0.227531187812412,0.24290840835602,0.0254699677154284,0.056804641375429,0.169599283012879,0.120255927526206,0.360300171968878
"98",0.0614667264012573,0.053342430902694,0,0,0.0162001494548102,0,0.0348155605531761
"99",0.116723153651953,0.285004780949526,0,0.0103441235987513,0.901890705972993,0.377457851030585,0.0721471094916235
"100",0,0,0,0,0,0,0
"101",0,0.0102244569158763,0,0,0,0.0218039687737681,0.0119938272800468
"102",0.0184817638638487,0.0421077799569006,0,0,0.00445686496157075,0.00512473794801946,0.0301301168953268
"103",0.0921730462734102,0.054553017263459,0,0,0.00770977223444243,0,0.0535288284729491
"104",0,0,0,0,0.00428203308509916,0,0.0186495900247354
"105",0,0,0.0138944128756019,0,0.00448510017931597,0,0
"106",0.0583324319864475,0.0770907894410198,0.0159238963557522,0,0.0333594918846967,0.0482894837279787,0.00407686215195668
"107",0,0,0,0,0,0,0
"108",1.34591060518806,0.594455235591686,0.0398579490952472,1.25808774463053,0.894632925700111,0.765290506017876,0.589194752545896
"109",0.247642837656793,0.273711110878307,0.013301169948477,0.00977536288513785,0.271505338108167,0.086393096814305,0.240653443255902
"110",0.218205939888135,0.204429504112794,0.38042889719928,0.0563542075848977,0.321867539255137,0.210001524183917,0.250842704664576
"111",0,0,0,0,0,0,0
"112",0,0,0,0,0,0.0440400381023395,0
"113",0,0,0,0,0,0,0
"114",0.00987637397726468,0,0,0,0.00796794494870589,0,0.00785833443743032
"115",0,0,0,0,0,0,0
"116",0,0,0,0,0,0,0
"117",0,0,0,0,0,0,0
"118",0.0779800360812658,0.0522209603075936,0.0638604002163759,0.0108229065644452,0.0520917866646447,0.0455222694648905,0.07283463701654
"119",0,0,0,0,0,0,0
"120",0,0.0121996267613852,0,0.0133118452769592,0.0295783489017857,0,0
