"","V1","V2","V3","V4","V5","V6"
"46",0.0687608632466415,0.121299269632743,0,0,0,0
"47",0,0.00852387742505606,0,0,0,0.0419046375033397
"48",0,0,0,0,0,0.053005705723598
"49",0.0723756785746546,0.0639836438806472,0.0707533090024335,0.0963547566329845,0.0827114631190213,0.129673448720002
"50",0.0295118262590398,0.0224410569802246,0.0364121970865054,0.0341728038399105,0,0
"51",0,0.00420026915475194,0,0.0146721827093853,0,0
"52",0.0147834497259092,0.0243930190289305,0,0,0,0
"53",0.0306981272669009,0.00520560233327296,0.0108188523936354,0.0418495198772328,0.0697530642367651,0
"54",0.0306981272669009,0.00520560233327296,0.0108188523936354,0.0418495198772328,0.0697530642367651,0
"55",0,0,0,0,0,0
"56",0,0,0,0,0,0
"57",0.00441141829227798,0,0,0,0,0.0576620716094825
"58",0.0044293480228232,0.00431616596488176,0,0,0,0.0874377141186407
"59",0.0160232434862757,0.00422036332517818,0.0151312019429779,0.00734695676475917,0,0.0404704225044515
"60",0,0,0,0,0,0
"61",0,0,0,0,0,0
"62",0,0.00385439227391248,0,0,0,0
"63",0.00758432855007152,0.00850797510086802,0.00843577933865018,0,0.0130815350359382,0
"64",0,0.0128051938975599,0,0,0,0
"65",0.00756871321921091,0.00891261925141362,0.0190590666116702,0.0155327206421285,0,0
"66",0.120178421769451,0.0859301958413311,0.138531092554902,0.136739108541869,0.104790051396532,0.046688185669273
"67",0.0546669628684173,0.0586899391515825,0.0572299731349027,0,0,0
"68",0.107685111618328,0.0770313435895222,0.159210481842118,0.094763778707095,0.131479467761168,0.114686976347194
"69",0,0,0,0,0,0
"70",0.0420867616072661,0.0337971202181995,0.0212096159837658,0.0754524205443262,0.0142490537324316,0
"71",0.032135105243468,0.0213372690763701,0.034254520480256,0.0392777834355152,0,0
"72",0,0,0,0,0,0.0851862946019426
"73",0,0,0,0,0,0
"74",0,0,0,0,0,0
"75",0.00382980471441094,0.00830655429926474,0.00840331678386616,0.00812801747242455,0,0
"76",0.0113810452414688,0.00559727363074257,0.0355105976844113,0.0109958292196369,0.0141076104126449,0
"77",0.0666651326257306,0.077741485978509,0.0268655177193313,0.00789613947166494,0,0
"78",0.0357635925751425,0.0289910677643771,0.0588014458726947,0.0703541945916103,0.0131168099749133,0
"79",0.0702614156094571,0.0526621556296402,0.138374499395186,0.0924555463708393,0.0784061364283248,0.21875219535894
"80",0,0,0,0,0.0139105348868177,0
"81",0.0641191144016408,0.0643904859036849,0.0268297367905184,0.00778851313296847,0,0.0837167036441684
"82",0.208656481366914,0.172302875474631,0.224921191495738,0.333561105535701,0.141085425117019,0
"83",0.0141331816144383,0.0046699841923773,0.0102140829545288,0,0,0
"84",0.710254881296438,0.605227694369594,0.681566417987999,0.357308046517753,0.253636017482145,0.0407757290376544
"85",0.0691715173860096,0.0655191790896789,0.0094542123294198,0.0077173528060758,0.011330246576978,0
"86",0.0293715398393935,0.00500087610617038,0,0.0203119725775811,0,0
"87",0,0.00457657609310263,0,0,0,0
"88",0,0.00457657609310263,0,0,0,0
"89",0.151732681743211,0.0686495798578219,0.0170369009921179,0.0409088969356633,0.0122460469624403,0
"90",0.151732681743211,0.0686495798578219,0.0170369009921179,0.0409088969356633,0.0122460469624403,0
"91",0.00409413754681705,0.0224446362198219,0.00827428550604455,0.00638827696741528,0.0128473332731385,0
"92",0.121333185392981,0.0721233646881163,0.163389495278691,0.155504046688867,0.139648988081744,0
"93",0.0109162038806125,0,0.0117567411490811,0.0221430460776358,0.0145118518745835,0.109777279437663
"94",0.0398974792581345,0.0275668326973836,0.0719547524425921,0.0589788670286791,0.122648736827878,0.358569957249268
"95",0,0.00872923741558933,0.00895753791122647,0.0166230871666892,0,0
"96",0.0130158415241374,0.0132599139993823,0.0351956299474744,0,0.0259441841618518,0
"97",0.245016901946101,0.251732065186017,0.143489678021488,0.109893985135747,0.0652142115601787,0.177304600884395
"98",0.0521151000208189,0.0710432294412652,0.017915902253922,0,0,0
"99",0.0230639929901222,0.0422549555639653,0.0497220826917063,0.173314220310624,0.0766421344742986,0
"100",0,0,0,0,0,0
"101",0.0202858557900349,0.0340851199306936,0,0.00697766217222235,0.010939203201619,0
"102",0.0330399010671595,0.0657475521116036,0.0169286194341444,0,0,0
"103",0.0373464628188297,0.0887212928393943,0.0312229005235872,0.0141093106577401,0,0.0397975352231776
"104",0,0.00418027634462507,0,0.0083587930028346,0,0
"105",0,0,0,0,0,0.0476835639473459
"106",0.0445049057629836,0.0373975010145087,0.0501320454688434,0.0469539272483765,0.024546334991465,0
"107",0,0,0,0,0,0
"108",0.225732964697075,0.16380227969809,0.754660515165793,0.565975685163598,1.08643822827254,0.14737201383382
"109",0.340425282697955,0.257983595047211,0.324424391822856,0.405513008997843,0.0544225140364185,0.199983635779195
"110",0.24342593458247,0.192940317131488,0.297311948198207,0.195343194366961,0.114482819291155,0.321978091879189
"111",0,0,0,0,0,0
"112",0,0.010939527682067,0,0,0.0151304096582876,0
"113",0,0,0,0,0,0
"114",0.00673246473448204,0,0,0,0,0.0694357085751144
"115",0,0,0,0,0,0
"116",0,0,0,0,0,0
"117",0,0,0,0,0,0
"118",0.0877530662227606,0.109713274985234,0.109590254884611,0.109897464271631,0.0402241179061038,0
"119",0,0.00493689268460609,0,0,0,0
"120",0.00535799226855203,0.0105385328242241,0,0,0,0
"121",0,0,0,0,0,0
"122",0,0,0,0,0,0
"123",0,0,0,0,0,0
"124",0,0,0,0,0,0
"125",0,0,0,0,0,0
"126",0,0,0,0,0,0
"127",0,0,0,0,0,0
"128",0,0,0,0,0,0
"129",0,0,0,0,0,0
"130",0,0,0,0,0,0
"131",0,0,0,0,0,0
"132",0,0,0,0,0,0
"133",0,0,0,0,0,0
"134",0,0,0,0,0,0
"135",0.0174068980833434,0.0119105102279746,0.0370512100619367,0.0230142508843402,0,0.0527741471418432
"136",0,0,0,0,0,0
"137",0,0,0,0,0,0
"138",0,0,0,0,0,0
"139",0,0,0,0,0,0
"140",0,0,0,0,0,0
"141",0,0,0,0,0,0
"142",0.00931913022919267,0.00471669824418762,0,0,0,0
"143",0,0.00422036332517818,0,0,0,0
"144",0,0,0,0,0,0
"145",0,0,0,0,0,0
"146",0,0,0,0,0,0
"147",0,0,0,0,0,0
"148",0,0,0.0244862810186701,0,0,0
"149",0,0,0.0442016194436828,0.0099202183582885,0,0
"150",0,0,0,0,0,0
"151",0,0,0.0363862847267451,0,0,0
"152",0,0,0,0,0,0
"153",0,0,0,0,0,0
"154",0,0,0,0,0,0
"155",0,0,0,0,0,0
"156",0,0,0,0,0,0
"157",0,0,0,0,0,0
"158",0,0,0,0,0,0
"159",0,0,0,0,0,0
"160",0,0,0,0,0,0
"161",0,0,0,0,0,0
"162",0,0,0,0,0,0
"163",0,0,0,0,0,0
"164",0,0,0,0,0,0
"165",0,0,0,0,0,0
"166",0,0,0,0,0,0
"167",0,0.00472259659279077,0,0,0,0
"168",0,0.0168060890249376,0.00908460695210044,0.00664315592448791,0,0
"169",0.010657609345416,0,0.0108123252443959,0,0,0
"170",0,0,0,0.0114023308911044,0,0
"171",0,0,0,0,0,0
"172",0,0,0,0,0,0
"173",0,0,0,0,0,0
"174",0.00540539822946258,0.0107484429436681,0.0116372312474515,0.0105786047751882,0,0
"175",0,0,0,0,0,0
"176",0,0,0,0,0,0
"177",0,0,0,0,0,0
"178",0,0,0,0,0,0
"179",0,0,0,0,0,0
"180",0,0,0,0,0,0
"181",0,0,0,0,0.0103522001551201,0
"182",0,0,0,0,0.0155424344974347,0
"183",0,0,0,0,0,0
"184",0,0,0,0,0,0
"185",0,0,0,0,0,0
"186",0,0,0,0,0,0
"187",0,0,0,0,0,0
"188",0,0,0,0,0,0
"189",0,0,0,0,0,0
"190",0,0,0,0,0,0
"191",0,0,0,0,0,0
"192",0,0,0,0,0,0
"193",0,0,0,0,0,0
"194",0,0,0,0,0,0
"195",0,0,0,0,0,0
"196",0,0,0,0,0,0
"197",0,0,0,0,0,0
"198",0,0,0,0,0,0
"199",0,0,0,0,0,0
"200",0.043737018419576,0.082105551313529,0.0702497364398255,0.0871960728457793,0.15403445474948,0
"201",0,0,0,0,0,0
"202",0,0,0,0,0,0
"203",0,0,0,0,0.0143128782366079,0
"204",0,0,0,0,0,0
"205",0,0,0,0,0,0
"206",0,0,0,0,0,0
"207",0,0,0,0,0,0
"208",0,0,0,0,0,0
"209",0,0,0,0,0,0
"210",0,0,0,0,0,0
"211",0,0,0,0,0,0
"212",0,0,0,0,0,0
"213",0.00600761288549855,0,0,0.011799770780553,0,0
"214",0.0190970453838994,0.0249107787193345,0.0742996172683301,0.00933931540644188,0,0.0358270750750289
"215",0,0,0,0,0,0
"216",0,0,0,0,0,0
"217",0,0,0,0,0,0
"218",0,0,0,0,0,0
"219",0.0235780971877237,0.0294543443596204,0,0,0.0347684261063316,0
"220",0,0,0,0,0,0
"221",0,0,0,0,0,0
"222",0.0569742406057236,0.0462741768926281,0.0482592539127192,0.0231503301601291,0.0841390482480018,0.0876148007990857
"223",0,0,0,0,0,0
"224",0.00516631247391621,0.0102039819908444,0,0.0088454867078216,0.0277363015461636,0
"225",0,0,0,0,0,0
"226",0,0,0,0,0,0
"227",0,0,0,0,0,0
"228",0,0,0,0,0,0
"229",0,0,0,0,0,0
"230",0,0,0,0,0,0
"231",0,0,0,0,0,0
"232",0,0,0,0,0,0
"233",0,0,0,0,0,0
"234",0,0,0,0,0,0
"235",0,0,0,0,0,0
"236",0,0,0,0,0,0
"237",0,0,0,0,0,0
"238",0,0,0,0,0,0
"239",0,0,0,0,0,0
"240",0,0,0,0,0,0
"241",0,0,0,0,0,0
"242",0,0,0,0,0,0
"243",0,0,0,0,0,0
"244",0,0,0,0,0,0
"245",0,0,0,0,0,0
"246",0,0,0,0.00809078390545584,0,0
"247",0,0.00442960844979599,0,0,0,0
"248",0,0,0,0,0,0
"249",0,0,0,0,0,0
"250",0.0139074694582512,0.00472644334206939,0.00937634874864848,0.0452231890743017,0,0
"251",0.0256380289348769,0.0261897109886634,0.103106493158078,0.0945339575833333,0,0
"252",0,0,0,0,0,0
"253",0,0,0,0,0,0
"254",0,0,0,0,0,0
"255",0,0,0,0,0,0
"256",0.0117354369882188,0.00580026656421881,0,0,0.0149001461127468,0
"257",0,0,0,0,0,0
"258",0,0,0,0,0,0
"259",0,0,0,0,0,0
"260",0,0,0,0,0,0
"261",0.03245880507279,0,0.0474910636766589,0.0214035348266739,0.0156875583385009,0
"262",0,0,0,0,0,0
